image_id,class_id
297008,0
297416,0
297684,0
298187,1
298842,1
298933,0
299001,1
299274,0
300251,0
301356,0
303858,6
304298,6
305196,0
305387,0
306158,0
306389,0
306865,0
310424,1
311790,1
311910,0
312275,0
313539,0
31444,0
315133,0
315289,3
315682,0
315869,0
316231,0
316321,0
316514,0
317233,0
317397,1
317399,0
317803,0
318197,0
318434,0
318854,0
319444,0
321184,0
3213,0
321744,0
321796,1
322091,0
322574,0
323183,0
324071,1
324914,3
325849,1
326168,0
326176,0
326324,0
326822,0
326915,0
327499,0
32784,0
328189,0
328287,3
330092,0
331805,0
332011,1
332615,1
332618,0
333998,0
334126,0
334213,0
335747,0
336215,0
337153,0
337316,1
338502,3
338517,1
338523,0
338953,1
338995,0
339657,0
340325,0
341056,0
341508,0
342015,0
342741,3
343528,0
343762,7
344146,0
344426,0
345607,0
346253,0
346488,0
346764,0
347267,0
347357,0
348437,0
349467,0
349725,0
349802,0
349939,0
350501,0
35055,1
350569,0
350779,0
350974,2
351033,0
352148,0
352474,0
352527,1
352684,0
353196,0
353547,0
354544,3
355343,0
355516,0
355548,6
355712,5
355840,0
356061,0
356171,0
356548,0
356871,0
356901,0
356919,2
357458,2
357927,2
358284,2
358389,0
358975,0
359311,2
359617,2
359988,2
360350,2
360380,0
360715,2
361029,2
361455,2
361881,3
361929,2
362193,0
362376,2
363012,2
363331,0
363422,2
363587,0
363965,2
364425,0
364731,2
365021,1
365223,2
365510,0
365850,2
366113,2
366261,2
366411,0
367088,0
367466,7
368187,0
36844,0
368938,0
370677,0
371002,0
371504,0
372919,0
373579,0
37399,0
374123,0
375571,0
376246,0
376692,1
377164,0
378058,0
378188,0
378485,0
378967,0
379901,0
380988,0
381893,0
38194,0
382885,0
383303,0
383326,0
384036,0
384836,0
385042,1
386053,0
386228,0
387662,0
388661,1
390020,0
390243,0
390875,0
390997,0
391560,0
391843,0
392031,0
392763,0
392997,0
393145,0
393298,0
393546,2
393785,0
393835,0
394278,1
394641,0
394813,1
395147,0
395479,0
396256,0
396483,0
396993,0
397101,0
397112,0
397311,3
397573,0
398007,0
398025,0
398103,0
398679,0
399210,0
399292,0
399525,0
399875,0
400200,0
401110,9
401277,1
401701,0
401764,0
403106,0
403482,1
403598,0
404073,0
404250,1
404253,0
404424,0
404794,3
407810,0
407931,0
408335,0
408710,0
409198,0
409454,1
410459,0
411648,0
411787,6
413032,6
414234,0
414379,0
415302,0
415815,0
418830,0
419567,0
419675,0
420267,0
421462,0
421505,0
423213,0
424335,0
424789,2
424951,0
425486,0
425502,0
426574,2
427300,1
427695,2
42805,0
428568,1
42861,0
428968,2
429641,2
429812,5
430205,0
430310,2
430460,0
430618,0
431696,0
432523,2
432660,3
432856,0
433205,2
433564,0
433894,2
434040,3
434523,0
434553,0
434572,2
434838,3
435369,2
435466,0
435711,2
436462,2
436998,2
437000,0
437344,0
437582,2
437826,0
437912,1
438149,2
438252,0
438477,0
438832,2
439400,2
440026,2
440664,1
440668,2
440952,0
441231,0
441257,0
441893,2
442351,0
442518,0
443537,2
444100,2
444474,0
444685,0
444704,3
444738,0
445451,2
445802,0
445965,2
446606,0
446935,0
448251,2
448415,0
448582,0
448736,0
448824,0
449030,0
449690,0
451070,1
451785,0
452089,0
452198,0
452489,0
453885,0
454082,0
454669,0
454755,0
454968,0
455235,0
455313,0
455322,0
455552,0
456930,0
457070,0
457607,0
457878,0
458240,0
458711,0
459017,0
459188,0
459421,0
459544,3
459792,0
460082,0
460401,0
460883,0
461472,0
462452,0
464426,0
465900,0
466247,6
468898,0
469193,0
469568,0
469929,0
470522,0
472207,0
472721,0
482,0
48711,3
48863,1
49062,3
50709,3
50763,0
51087,0
51220,1
52101,0
5363,0
55009,0
58431,0
59667,0
6077,0
61307,0
62607,0
63033,1
63239,0
63550,0
63557,0
63618,0
64052,0
64082,0
64530,0
65081,0
65546,1
66822,0
67712,0
6791,0
68200,0
69552,0
71943,0
72118,7
72459,0
72512,3
73042,0
73567,0
73745,0
74081,2
75665,0
76387,0
77593,0
81285,0
81595,0
81709,0
82077,2
83995,0
85637,0
85775,0
8605,0
86877,0
87044,0
87637,0
88328,0
89196,0
89509,1
9090,0
92456,0
92638,3
92854,1
93121,0
93871,0
94333,0
94927,0
9535,1
